Gene,N61311_Dex,N052611_Dex,N080611_Dex,N061011_Dex,N61311_untreated,N052611_untreated,N080611_untreated,N061011_untreated
GUCY1A2,54,174,16,48,98,258,30,103
LOC112268081,0,0,0,0,0,2,0,0
LOC105369475,0,0,0,0,0,0,0,0
LOC105369477,32,88,57,80,55,67,53,74
CWF19L2,202,397,323,452,252,294,359,387
ALKBH8,171,304,284,328,208,222,195,338
ELMOD1,6,3,3,13,3,0,0,0
LOC112267904,0,1,0,0,0,0,0,0
SLN,0,0,2,0,0,0,0,0
SLC35F2,43,74,104,101,50,22,74,84
RAB39A,0,0,0,0,1,0,0,0
CUL5,726,1599,1336,1496,803,1004,1158,1305
ACAT1,1085,2451,1215,2208,965,1373,1254,1846
NPAT,322,824,560,790,469,525,569,654
ATM,1687,3295,3025,3512,2082,2751,2787,3605
C11orf65,28,48,39,51,30,53,69,51
POGLUT3,2349,4536,1992,4307,2853,2823,1637,3556
LOC112267909,5,6,4,3,3,4,3,2
EXPH5,280,810,500,597,338,433,420,422
LOC101928561,2,0,1,0,0,1,1,0
DDX10,283,493,465,444,250,265,353,369
C11orf87,20,2,9,8,14,12,3,18
LINC02715,0,0,0,0,0,0,0,0
LOC105369483,0,0,0,0,0,0,0,0
LOC107984384,0,0,0,0,0,0,0,0
LOC105369484,1,1,0,1,0,1,1,0
ZC3H12C,451,792,630,940,314,335,452,445
RDX,1852,3398,2693,3440,2029,2217,2891,3217
LINC02732,0,0,0,0,0,0,0,0
LOC107984385,0,0,0,0,0,0,0,0
FDX1,224,383,249,454,232,243,252,402
LOC105369487,3,4,2,0,4,2,3,2
ARHGAP20,796,1589,1051,2071,1247,1393,1909,2002
LOC105369488,1,0,1,0,0,0,0,1
LOC105369489,0,1,0,0,0,0,0,1
LINC02550,7,32,0,14,17,37,2,16
LOC102723966,4,10,0,3,7,17,1,4
POU2AF2,0,0,0,0,0,0,0,0
COLCA1,8,5,1,4,9,8,3,14
POU2AF3,16,18,7,18,25,21,7,15
LOC105369491,0,0,0,0,0,0,0,0
MIR4491,0,0,0,0,0,0,0,0
POU2AF1,0,0,1,0,1,0,0,1
BTG4,1,3,3,1,3,0,1,0
LOC100132078,0,0,0,0,0,0,0,0
LOC107984386,0,0,0,0,0,0,0,0
LOC644277,0,0,0,0,0,0,0,0
MIR34BHG,0,0,1,0,1,2,1,2
MIR34B,0,0,0,0,0,1,0,0
MIR34C,0,0,0,0,1,0,0,1
HOATZ,5,25,12,16,1,11,2,3
LAYN,1469,3622,3527,3386,1933,3280,2976,3465
SIK2,3791,5005,5322,5644,3130,3269,3820,4013
PPP2R1B,706,1257,1626,1214,773,1005,1079,1274
ALG9,577,860,1342,787,480,630,696,788
FDXACB1,32,74,51,49,44,54,60,72
CFAP68,153,238,175,158,146,183,212,173
CRYAB,1358,4162,3139,2949,1276,1962,2212,1719
HSPB2,254,735,415,629,278,366,322,466
HSPB2-C11orf52,41,101,87,98,53,74,65,60
C11orf52,9,37,12,23,7,16,8,14
DIXDC1,1124,2499,1321,2705,1004,1296,1096,1932
DLAT,424,770,677,630,329,392,489,472
PIH1D2,102,199,161,143,80,95,125,133
NKAPD1,433,963,722,901,589,674,801,851
TIMM8B,227,361,393,332,250,321,352,395
SDHD,1197,2267,2082,2087,1356,1472,1611,1820
IL18,1,2,0,4,3,1,1,3
LOC107987164,0,1,0,0,0,0,0,0
TEX12,3,8,6,4,0,4,1,4
BCO2,14,32,22,22,19,18,44,29
PTS,238,436,585,352,282,274,492,268
PLET1,0,1,0,0,0,1,2,0
LOC100132686,0,2,1,0,0,1,2,0
LINC02762,24,34,52,48,44,44,80,40
LOC107984388,1,0,1,0,0,2,1,2
LOC107984387,44,111,97,89,50,53,112,63
LOC107984389,1,1,1,0,0,0,0,0
LINC02763,0,0,0,0,0,0,1,0
LINC02764,0,0,0,0,0,0,0,0
LOC105369496,0,0,0,0,0,0,0,0
LOC105369498,0,0,0,0,0,0,0,0
LOC101928847,0,1,0,0,0,0,0,0
NCAM1,1,3,0,3,0,0,0,0
NCAM1-AS1,0,0,0,0,0,0,0,0
TTC12,154,257,239,388,257,230,267,487
ANKK1,4,3,6,1,9,2,8,4
DRD2,1,0,0,0,0,0,1,0
MIR4301,0,0,0,0,0,0,0,0
LOC105369501,0,0,0,0,0,0,0,0
LOC107984390,0,0,0,0,0,0,0,2
TMPRSS5,3,3,5,6,2,2,3,8
ZW10,264,569,438,507,340,396,433,485
CLDN25,0,0,0,0,0,0,0,0
USP28,481,797,931,758,532,530,800,777
HTR3B,0,0,0,1,0,0,0,0
HTR3A,0,1,0,0,0,0,0,0
ZBTB16,2415,3811,1708,5327,15,19,3,47
LOC101928875,1,0,0,0,0,0,0,0
NNMT,12240,19671,17419,18619,2615,3675,4266,2901
LOC101928940,1,6,11,6,0,2,0,1
LOC107984391,6,19,16,7,3,6,6,1
C11orf71,51,119,91,105,61,97,95,113
RBM7,434,875,784,741,534,574,770,745
REXO2,1672,3229,2474,2543,1927,2219,2281,2286
NXPE2,7,4,7,8,9,12,9,9
NXPE1,0,1,0,0,0,0,1,0
NXPE4,3,0,0,0,0,1,2,0
LOC105369504,0,0,0,0,0,0,0,0
LOC105369506,0,0,0,0,0,0,0,0
LOC105369505,0,0,0,0,0,0,0,0
CADM1,101,135,51,57,376,213,66,149
LOC105369509,0,0,0,0,0,0,0,0
CADM1-AS1,0,0,0,0,0,0,0,0
LOC105369511,0,0,0,0,0,0,0,0
LINC02698,0,0,0,0,0,0,0,0
LOC101928985,0,0,0,0,0,0,0,0
LINC00900,4,34,2,7,13,33,2,11
LOC107987165,0,0,0,0,0,0,0,0
LINC02703,0,0,0,2,4,0,0,0
LOC112268082,0,0,0,0,0,0,0,0
LOC105369513,0,0,0,0,0,0,0,0
LOC107984393,0,0,0,0,0,0,0,0
LOC107987166,0,0,0,0,0,0,0,0
LOC107984372,0,0,0,0,0,0,0,0
LINC02702,0,0,0,0,0,0,0,0
BUD13,156,273,245,232,197,246,277,273
ZPR1,426,817,904,735,387,498,616,572
APOA5,0,0,1,0,1,1,0,0
APOA4,0,0,0,0,0,0,0,0
APOC3,0,0,0,0,0,0,0,0
APOA1,2,0,0,2,0,0,2,1
APOA1-AS,1,1,0,3,2,1,1,4
SIK3,1127,1816,1769,2029,1164,1335,1669,1652
PAFAH1B2,1575,3635,2516,2960,1432,1663,1734,1897
SIDT2,990,3121,2279,2547,805,1141,1337,1334
LOC100652768,121,372,253,232,93,129,114,136
TAGLN,7130,35211,31048,20478,3838,10734,8007,10069
PCSK7,2562,9889,9773,6514,1619,3521,3021,3457
RNF214,422,985,820,874,553,719,973,837
BACE1,2416,6165,4682,6036,3065,3802,4928,5227
BACE1-AS,88,183,174,196,128,143,170,150
CEP164,724,1269,1104,1232,830,1040,1118,1170
DSCAML1,0,0,0,0,0,0,0,0
LOC105369515,0,0,0,0,0,0,0,0
LOC107984394,0,0,0,0,0,0,0,0
FXYD2,1,1,1,0,1,0,0,0
FXYD6-FXYD2,1,1,1,0,2,0,0,1
FXYD6,5,2,0,5,7,2,0,7
TMPRSS13,0,0,0,0,0,0,0,0
IL10RA,1,0,0,0,1,0,0,0
SMIM35,1,0,0,0,0,0,0,0
TMPRSS4,1,2,0,3,1,0,0,2
LOC105369517,0,0,0,0,0,0,0,0
SCN4B,283,222,160,582,474,177,167,656
SCN2B,121,127,43,264,244,132,51,419
JAML,0,0,0,0,1,0,0,0
MPZL3,0,2,5,4,2,4,7,7
MPZL2,0,0,0,0,0,1,1,0
CD3E,0,0,0,0,0,0,0,0
CD3D,0,0,0,0,0,0,0,0
CD3G,0,0,0,0,0,0,0,0
UBE4A,1427,3025,2140,3008,1648,1942,1994,2449
LOC100131626,39,59,65,74,38,61,65,59
ATP5MG,1589,2443,2264,2242,1700,1912,2072,1853
KMT2A,2052,3722,3326,4766,3304,3213,3764,4370
TTC36-AS1,42,57,63,83,69,75,71,61
TTC36,4,9,6,8,7,5,2,14
TMEM25,148,388,253,323,186,266,213,288
IFT46,343,733,480,687,428,586,537,579
ARCN1,4133,7619,6642,7711,4176,4557,5686,5894
PHLDB1,3763,5000,4499,5646,2875,3287,3395,3760
MIR6716,54,52,69,68,46,49,44,46
TREH,337,513,335,428,220,284,293,305
LOC105369519,0,2,2,3,1,2,2,3
DDX6,2467,6165,4503,5342,3328,3342,3810,4513
CXCR5,494,695,577,624,411,407,533,503
BCL9L,3159,4099,3992,4464,2862,2720,3585,3627
MIR4492,5,1,13,3,5,5,5,3
UPK2,1,2,1,1,1,1,6,7
FOXR1,0,0,0,0,1,1,0,1
CENATAC-DT,8,15,24,7,19,13,10,22
CENATAC,182,265,168,214,210,186,175,225
RPL23AP64,17,20,20,14,22,23,25,28
RPS25,8387,11294,9996,10544,8644,9152,9418,10080
TRAPPC4,458,870,679,902,447,487,567,654
SLC37A4,180,340,266,279,238,257,262,321
HYOU1,1964,2954,4907,2533,2177,2397,2136,2344
VPS11,988,1579,1371,1896,1305,1316,1552,1851
HMBS,162,257,285,234,173,208,237,215
H2AX,256,311,299,388,226,253,242,360
DPAGT1,502,870,901,887,463,582,756,753
LOC107984397,5,7,8,4,5,12,12,8
C2CD2L,183,304,181,268,142,164,196,201
HINFP,236,352,242,372,250,249,317,338
ABCG4,6,16,12,14,7,12,19,9
NLRX1,290,780,658,682,396,636,499,644
NHERF4,1,2,0,2,0,0,0,0
CCDC153,6,20,30,18,18,22,23,11
SNORD150,1,2,2,1,0,2,1,0
CBL,726,1214,1393,1533,780,669,1042,1017
MCAM,144,290,580,264,124,124,289,177
MIR6756,0,0,0,0,0,0,0,0
RNF26,952,1970,1495,1869,979,1180,1049,1307
C1QTNF5,214,488,440,445,172,200,298,286
MFRP,214,488,440,445,172,200,298,286
USP2,12,45,34,18,12,17,26,17
USP2-AS1,0,5,4,4,2,4,3,5
THY1,5566,19177,24072,13745,8050,15486,22467,15577
LOC107984398,0,0,1,0,2,4,10,5
LOC105369520,0,0,0,0,0,0,0,0
NECTIN1,117,139,154,151,207,216,309,234
NECTIN1-AS1,0,0,0,0,0,0,0,0
NECTIN1-DT,1,3,0,1,1,3,1,1
LOC105369526,0,0,0,0,0,0,0,0
LINC02744,0,0,0,0,0,0,0,0
LOC105369527,0,0,0,0,0,0,0,0
LOC105378956,0,0,0,0,0,0,0,0
TRIM29,4,8,6,5,2,5,3,1
LOC105369529,0,1,0,0,0,0,1,0
LOC107984399,0,0,1,0,0,0,0,0
LOC105369530,1,0,0,0,0,0,0,0
OAF,1517,1935,1025,1282,1642,1262,1417,1728
POU2F3,2,4,1,3,3,2,2,3
LOC649133,0,0,0,0,0,0,0,0
LOC105369531,0,0,0,0,0,0,1,0
TLCD5,414,754,443,630,414,477,401,573
ARHGEF12,5382,11675,10156,11874,5660,6045,7546,8079
GRIK4,28,10,17,25,146,24,60,139
LOC107984400,0,0,0,0,2,2,1,1
LOC105369532,2,1,2,2,4,2,4,7
LOC101929227,0,0,0,0,0,0,0,0
LOC101929208,0,0,0,0,0,0,0,0
TBCEL,632,1234,970,1118,573,640,786,895
TECTA,16,63,49,61,30,37,33,57
LOC105369533,0,0,0,0,0,0,0,0
LOC105369534,0,0,0,0,0,0,0,0
SC5D,497,1195,882,1022,626,738,924,908
SORL1-AS1,0,0,0,0,0,0,0,0
SORL1,4,12,13,10,29,20,11,47
LOC105369535,0,0,0,0,0,0,0,0
LOC107984402,2,0,1,2,0,0,0,1
MIR100HG,2300,6462,4461,5266,2785,3850,4172,5569
MIR125B1,1,1,3,4,1,1,0,2
BLID,0,1,6,0,0,2,1,3
MIRLET7A2,0,0,1,0,0,0,0,0
MIR10526,0,0,0,0,0,0,0,1
MIR100,0,0,0,0,0,0,0,0
TRK-TTT2-1,0,0,0,0,0,0,0,0
UBASH3B,462,656,1259,784,292,291,406,331
CRTAM,2,1,1,2,0,1,0,2
JHY,125,352,153,400,191,288,199,329
BSX,0,0,0,0,0,0,0,0
LOC341056,2,33,3,29,2,5,9,20
HSPA8,13914,32637,32489,26305,17640,26473,39112,27319
SNORD14E,2,2,1,1,4,3,5,0
SNORD14D,3,7,6,6,9,5,9,11
SNORD14C,1,7,3,4,5,1,7,10
LOC101929289,3,8,5,6,0,4,5,5
CLMP,5548,7909,9302,10783,6698,7449,12139,10986
LOC105369540,0,0,0,0,0,0,0,0
LOC105369539,0,0,0,0,0,0,0,0
LINC02727,0,0,0,0,0,0,0,0
GRAMD1B,24,79,159,130,75,96,228,156
MIR4493,0,0,0,0,0,0,0,0
SCN3B,2,2,3,5,7,6,8,8
LOC105369543,1,0,0,0,2,0,0,0
ZNF202,136,236,245,230,136,186,198,223
OR6X1,0,0,0,0,0,0,0,0
LOC105369544,0,0,0,0,0,0,0,0
OR6M1,0,0,0,0,0,1,0,0
TMEM225,0,0,0,0,0,0,0,0
OR8D4,0,0,0,0,0,0,0,0
OR4D5,0,0,0,0,0,0,0,0
OR6T1,0,0,0,0,0,1,0,0
OR10S1,0,0,0,0,0,0,0,0
OR10G6,0,0,0,0,0,0,0,0
OR10G4,0,0,0,0,0,0,0,1
OR10G9,0,0,0,0,0,0,0,1
OR10G8,0,0,0,0,0,0,0,0
OR10G7,0,0,0,0,0,0,0,0
LOC107984403,0,0,3,0,1,0,0,0
LOC105369545,0,0,0,0,0,0,0,0
VWA5A,714,1023,1550,967,1002,1109,1959,1265
OR10D3,0,0,0,0,0,0,0,0
LOC102724410,0,0,0,0,0,0,0,0
OR8G2P,0,0,0,0,0,0,0,0
LOC112267863,0,0,0,0,0,0,0,0
OR8G1,0,0,0,0,0,0,0,0
OR8G5,0,0,0,0,0,0,0,0
OR8D1,0,0,0,0,0,0,0,0
LOC112268069,0,0,0,0,0,0,0,0
OR8D2,0,0,0,0,0,0,0,0
OR8B2,0,0,0,0,0,0,0,0
OR8B3,0,0,0,0,0,0,0,0
LOC107984404,0,0,0,0,0,0,0,0
OR8B4,0,0,0,0,0,0,0,0
OR8B8,0,0,0,0,0,0,0,0
OR8B12,0,0,0,0,0,0,0,0
OR8A1,0,0,0,0,0,0,0,0
PANX3,0,0,0,0,0,0,0,0
TBRG1,1079,2285,1780,2355,1117,1473,1481,1982
SIAE,1390,3281,2906,3285,1825,2068,2617,2796
SPA17,66,197,154,145,74,128,115,132
LOC107984405,0,0,0,0,0,0,0,0
NRGN,3,20,48,13,6,11,67,27
VSIG2,0,15,28,9,1,4,19,6
ESAM,2,4,4,4,1,1,4,7
ESAM-AS1,3,4,1,3,1,1,5,1
MSANTD2,309,493,491,489,341,403,557,559
MSANTD2-AS1,16,31,24,43,20,38,17,41
ROBO3,107,184,179,262,185,236,289,344
ROBO4,1,9,2,4,4,15,5,19
LOC107984406,0,1,0,2,0,1,4,1
HEPACAM,0,0,2,1,0,3,1,0
HEPN1,0,0,1,0,0,1,1,0
CCDC15-DT,2,4,1,7,4,5,5,13
CCDC15,8,20,17,30,27,31,26,46
SLC37A2,3,6,7,12,1,8,18,9
TMEM218,189,343,280,352,239,276,276,382
PKNOX2-DT,0,0,0,0,0,0,0,0
PKNOX2,2,10,4,10,20,32,22,53
LOC105369549,0,0,0,0,0,0,0,0
FEZ1,1477,2565,1647,2373,1869,1914,1977,2516
LOC403312,6,2,5,5,6,3,6,5
STT3A-AS1,2,2,2,4,2,3,3,2
EI24,1643,2956,3051,2840,1912,2257,2720,2739
STT3A,2732,6172,5494,4903,3340,4062,4341,4656
CHEK1,343,649,403,557,296,381,360,400
ACRV1,0,3,2,1,2,1,0,1
LOC105369551,0,0,0,0,0,2,0,0
PATE1,0,0,0,0,0,0,0,0
PATE2,0,1,1,0,0,0,0,0
PATE3,0,0,0,0,0,0,0,0
LOC105369552,0,0,0,0,0,0,0,0
PATE4,0,0,0,0,0,0,0,0
HYLS1,103,183,105,129,106,111,128,152
PUS3,131,212,188,192,170,206,258,226
DDX25,1,0,2,0,0,0,0,2
VSIG10L2,0,0,0,0,0,0,0,0
CDON,120,363,278,316,657,695,417,1259
LOC107984407,0,0,0,0,2,0,0,0
LOC105369591,0,1,1,0,3,2,5,5
RPUSD4,413,664,547,756,440,431,549,578
FAM118B,935,1860,1638,1540,1007,1330,1534,1401
SRPRA,2042,4073,3755,3536,2244,2899,3280,3150
FOXRED1,246,407,328,335,276,322,346,419
TIRAP,100,150,187,192,130,133,172,209
TIRAP-AS1,51,91,66,83,64,59,73,87
DCPS,359,531,597,534,436,485,516,608
GSEC,18,56,61,64,56,83,94,92
ST3GAL4,814,1059,693,1129,801,782,734,989
KIRREL3,163,606,759,588,239,623,614,418
LOC101929427,0,0,1,0,1,2,1,6
LOC105369561,0,1,0,0,0,1,4,0
LOC105369559,0,0,1,1,1,0,2,2
KIRREL3-AS2,0,0,0,0,0,0,0,0
MIR3167,0,0,0,0,0,0,0,0
LOC105369558,0,1,1,1,1,1,2,0
KIRREL3-AS3,0,1,2,3,0,2,1,1
LOC101929473,0,0,0,0,0,0,0,0
LOC105369562,0,0,0,0,0,0,0,0
LOC107984379,0,0,0,0,0,0,0,0
LINC02712,0,0,0,0,0,0,0,0
LOC107984373,0,0,0,0,0,0,0,0
LOC107984374,0,0,0,0,0,0,0,0
LINC02725,0,0,0,0,0,0,0,0
LINC02098,0,0,0,0,0,0,0,0
LOC107984408,1,1,1,0,0,0,0,0
ETS1,1022,1909,1718,1731,1224,961,1339,1345
MIR6090,0,0,0,0,0,0,0,0
ETS1-AS1,0,0,0,0,0,0,0,0
LOC105369565,0,0,0,0,0,0,0,0
LOC105369568,1,0,0,0,1,0,0,0
LOC101929538,0,0,0,0,0,0,0,0
FLI1,21,94,51,82,25,67,25,70
SENCR,0,2,0,0,1,2,1,2
KCNJ1,1,2,1,0,1,4,2,4
LOC107984409,0,0,0,0,0,1,1,2
KCNJ5,3,6,1,3,2,2,3,11
KCNJ5-AS1,43,100,53,82,80,89,72,120
TP53AIP1,0,0,0,0,0,0,0,2
ARHGAP32,306,569,516,707,440,506,649,713
LOC399975,12,23,24,17,5,8,17,11
LOC105369571,0,0,0,0,0,0,0,0
LOC105369572,0,0,0,0,0,0,0,0
BARX2,0,0,0,0,0,0,0,0
LOC107984410,0,0,0,0,0,0,0,0
LINC01395,0,0,0,0,0,0,0,0
TMEM45B,1,2,4,2,2,2,0,2
NFRKB,472,796,738,1012,593,636,720,848
PRDM10,207,314,293,386,275,227,320,395
PRDM10-DT,3,1,2,5,4,0,2,5
LOC107984432,2,4,2,3,4,3,4,4
APLP2,19091,48556,38205,47520,20258,30966,37053,38591
ST14,1,3,1,3,0,1,3,1
ZBTB44,1949,3610,3549,3154,2181,2384,3183,2604
ZBTB44-DT,1,5,5,2,2,7,2,2
ADAMTS8,6340,6263,15760,5273,4755,7019,10463,4557
ADAMTS15,2075,2990,1230,3424,1079,1790,1498,1711
LOC105369574,12,17,12,18,10,20,20,8
MIR8052,0,0,0,0,0,0,0,0
LINC02873,4,5,1,2,0,4,1,2
LOC105369575,6,12,14,13,9,12,8,15
LOC105369576,0,0,1,4,0,2,2,3
LINC02551,14,9,6,5,1,2,4,2
LOC103611081,187,330,247,205,155,160,227,168
SNX19,3840,5844,6531,5644,4258,4237,5252,4951
LOC105369577,0,0,0,0,0,0,0,0
LOC107984411,0,0,0,0,2,1,0,1
LOC105369579,0,0,0,0,0,0,2,2
LOC105369578,0,0,0,0,0,0,1,0
LOC107984412,0,0,0,0,0,1,1,0
NTM,79,181,279,191,135,284,355,320
LOC101929653,0,0,0,0,0,0,0,0
NTM-AS1,0,0,0,0,0,0,0,0
LOC107984413,3,3,13,4,5,8,10,10
NTM-IT,0,0,0,0,0,0,0,0
OPCML,1,3,2,2,2,5,3,5
LOC105369580,0,0,0,0,0,0,0,0
LINC02743,0,0,0,0,0,0,0,0
SPATA19,0,0,0,0,0,0,0,0
MIR4697HG,1,0,1,1,0,0,0,2
MIR4697,0,0,0,0,0,0,0,0
IGSF9B,1,0,0,1,1,0,0,0
LINC02730,0,0,0,0,0,0,0,0
LINC02731,0,1,1,1,3,4,4,6
JAM3,1290,3276,2356,3052,1746,1942,1759,2408
LOC107984040,0,1,1,2,0,0,0,0
NCAPD3,748,1675,1127,1465,871,1008,1000,1262
SNORD153,40,69,47,59,49,46,39,49
VPS26B,974,1805,1299,1877,1278,1233,1416,1849
THYN1,317,697,481,594,423,595,633,638
ACAD8,371,670,520,664,442,426,514,622
GLB1L3,0,0,0,0,0,0,0,1
GLB1L2,8,1,1,0,5,1,2,0
B3GAT1,0,0,0,0,0,0,0,1
B3GAT1-DT,0,0,0,0,0,0,0,0
LOC105369583,0,0,0,0,0,0,0,0
LINC02706,0,0,0,0,0,0,0,0
LINC02714,1,0,0,0,0,0,0,1
LINC02697,0,0,0,0,0,0,0,0
LOC100507548,0,0,0,0,0,0,0,0
LINC02717,0,0,0,0,0,0,0,0
LOC105369587,0,0,0,0,0,0,0,0
LINC02684,0,0,0,0,0,0,0,0
LOC107987373,169,256,245,265,182,185,212,220
LOC107987374,0,1,2,0,1,1,5,5
LOC107987375,0,0,1,0,0,0,1,1
LOC112267876,1,7,4,19,5,16,5,56
LOC102724852,6,29,18,104,24,60,23,240
WASH8P,495,435,377,303,573,404,376,247
LOC107987170,1,2,0,1,1,2,1,2
FAM138D,1,1,1,1,2,2,2,4
IQSEC3,3,9,10,30,10,9,16,47
LOC105369593,0,0,0,0,0,0,0,0
LOC574538,0,0,2,2,1,1,1,2
IQSEC3-AS1,0,1,0,3,1,0,1,7
SLC6A12,4,7,1,1,9,2,8,3
SLC6A12-AS1,0,0,0,0,0,0,0,0
SLC6A13,1,3,0,1,0,2,0,0
LOC102723544,0,0,0,0,0,0,0,0
KDM5A,1269,2675,2379,3008,1626,1832,1977,2401
CCDC77,113,262,182,220,135,198,197,204
LOC105369594,1,0,0,0,0,0,3,3
B4GALNT3,0,0,1,0,1,0,0,2
NINJ2,34,29,33,59,25,41,40,55
LOC105369595,0,0,0,0,0,0,0,0
NINJ2-AS1,53,153,97,160,76,114,124,187
LINC02455,0,0,0,0,0,0,0,0
LOC101929432,0,0,0,0,0,0,0,0
WNK1,4003,8454,7760,9007,5173,6274,7941,8357
RAD52,262,460,360,378,303,363,411,415
ERC1,2104,2988,2890,3685,2544,2007,2548,3114
LOC107987182,0,0,0,0,0,0,0,0
LINC00942,3,6,7,3,2,2,6,3
LOC107984507,11,19,26,21,8,24,18,25
WNT5B,929,2221,1812,1962,1212,1562,1683,1682
FBXL14,134,243,192,262,152,175,144,238
MIR3649,2,2,2,2,0,6,0,0
ADIPOR2,1040,2199,1624,1911,1075,1195,1310,1436
CACNA2D4,21,47,20,70,34,38,18,51
LOC105369602,0,0,0,1,0,0,0,0
LOC105369601,0,1,0,1,1,0,0,0
LRTM2,0,0,0,0,1,0,0,0
LOC112268103,0,0,0,0,0,0,0,0
LINC00940,0,0,0,0,0,0,0,0
DCP1B,291,557,518,553,439,538,706,684
CACNA1C,1335,1846,2868,2276,1955,2180,3236,3195
CACNA1C-IT1,1,0,0,1,0,0,0,0
CACNA1C-IT2,0,1,1,0,0,0,0,0
LOC107984131,4,2,6,3,2,1,5,1
CACNA1C-AS4,0,0,1,0,0,0,0,0
CACNA1C-IT3,1,0,0,0,0,0,1,2
CACNA1C-AS2,20,24,63,30,28,37,61,54
CACNA1C-AS1,60,60,113,82,80,96,141,130
LINC02371,9,12,15,14,10,11,16,20
ITFG2-AS1,13,25,21,20,23,21,24,22
FKBP4,588,902,863,887,644,710,883,871
ITFG2,218,464,382,391,348,481,443,504
NRIP2,25,45,43,50,29,46,45,56
TEX52,9,10,8,7,5,7,6,11
FOXM1,141,249,161,250,221,239,246,338
RHNO1,226,503,398,460,400,552,577,577
TULP3,1138,2287,1693,2375,1268,1479,1814,1934
TEAD4,153,174,240,236,113,97,102,108
TSPAN9,2945,6057,5336,8263,3096,3342,3687,6243
LINC02827,1,1,1,2,2,1,1,0
LOC100128253,1,1,3,1,0,0,0,1
LINC02417,0,0,0,0,0,0,0,0
PRMT8,0,0,0,0,0,0,0,0
LOC105369607,0,0,0,0,0,0,0,0
THCAT155,0,0,0,0,0,0,0,0
CRACR2A,46,67,56,162,57,55,56,104
LOC107984495,1,1,0,0,0,0,1,0
PARP11,185,398,236,357,300,348,330,431
PARP11-AS1,0,1,0,1,0,0,2,2
LOC105369608,0,0,0,0,0,0,0,0
LOC105369611,0,0,0,0,0,0,3,0
LOC105369612,0,0,0,0,0,0,0,0
CCND2-AS1,68,141,90,100,112,134,104,135
CCND2,2625,5724,2727,2818,4560,4481,4086,4726
TIGAR,495,742,822,632,625,608,832,790
FGF23,0,0,0,0,0,0,0,0
FGF6,0,0,0,0,0,0,0,0
C12orf4,351,542,528,448,445,486,611,586
RAD51AP1,21,43,22,37,31,35,36,37
DYRK4,199,343,343,296,257,307,351,329
AKAP3,19,34,31,16,36,46,29,22
NDUFA9,627,942,767,892,728,638,723,855
GAU1,0,1,2,1,0,0,0,0
GALNT8,3,2,3,6,2,3,4,7
LOC105369614,0,0,0,0,0,0,0,0
KCNA6,1,5,0,1,1,5,0,8
KCNA1,0,0,0,0,1,2,0,0
LOC100507560,0,0,1,0,0,0,0,0
KCNA5,9,55,3,16,10,52,2,52
LOC105369617,0,2,0,8,0,2,1,8
LOC105369616,0,0,0,0,0,1,0,0
LINC02443,0,0,0,0,0,0,0,0
LOC105369618,1,4,4,4,2,0,4,10
NTF3,165,441,334,267,225,393,300,240
ANO2,5,33,17,13,3,14,13,5
LOC105369621,0,0,0,0,0,0,0,0
VWF,9,19,42,19,18,29,43,24
SNORA120,0,0,0,0,0,0,0,0
LOC105369623,0,0,0,0,0,0,0,2
LOC105369622,0,0,0,0,0,0,0,0
CD9,3478,9302,4981,8911,3105,3762,2909,5638
LOC105369625,0,0,0,0,0,0,0,1
LOC105369624,0,0,0,0,0,0,0,0
PLEKHG6,13,8,19,9,6,4,11,8
TNFRSF1A,3638,6928,5011,6873,3998,4265,5129,5418
LOC112268088,0,1,0,0,0,0,0,1
SCNN1A,4,18,7,12,5,10,7,7
LOC107984500,0,1,1,2,0,1,0,1
LOC105369626,0,0,0,0,0,1,1,0
LTBR,2913,6046,4902,5202,2737,3681,3659,3709
CD27-AS1,306,620,281,503,311,380,297,411
CD27,81,117,76,114,70,92,78,95
TAPBPL,239,364,398,392,339,320,467,455
VAMP1,397,998,603,1006,396,550,647,782
MRPL51,1053,1751,1401,1461,1093,1189,1172,1285
NCAPD2,936,1884,1357,1968,1210,1266,1270,1551
SCARNA10,0,1,1,0,2,1,0,1
GAPDH-DT,99,206,155,184,132,117,138,171
GAPDH,40733,69293,83876,59658,54828,65240,66155,63921
IFFO1,1159,1971,997,2099,1361,1643,942,1855
NOP2,422,602,767,575,347,377,481,427
CHD4,4196,6908,6983,6611,5983,6653,8666,8170
SCARNA11,2,0,0,0,0,0,0,0
LOC105369631,1,0,1,2,0,0,1,0
LPAR5,0,0,0,0,0,0,3,0
ACRBP,4,10,7,12,6,9,12,5
ING4,373,815,506,826,523,680,711,841
ZNF384,897,1415,1244,1398,1003,1050,1215,1362
PIANP,405,1173,767,857,290,572,745,550
COPS7A,1776,2950,2674,2698,2001,2197,2291,2471
MLF2,2361,3454,3616,3035,2618,2786,3329,3248
PTMS,3856,8305,6593,6168,2824,5259,4980,5636
LAG3,3,7,6,6,3,8,5,12
CD4,23,124,134,33,30,92,147,35
GPR162,104,215,151,182,140,150,192,174
P3H3,883,2366,2201,2048,1476,1927,2339,2488
GNB3,30,45,42,51,34,42,45,80
CDCA3,55,51,55,55,47,48,58,72
USP5,1556,2702,1928,2376,1968,2140,2067,2328
TPI1,6081,8094,18356,7784,7365,8380,8407,7604
SPSB2,128,178,112,185,164,157,166,188
LOC105369632,3,7,8,8,11,8,10,30
RPL13P5,31,51,41,42,27,48,48,76
